"","Player","ORPM","DRPM","RPM","Possessions","year"
"204","Alan Ogg","-0.1","-0.9","-1.0","976.0",1991
"205","John Long","-0.2","-0.8","-1.0","806.0",1991
"206","Walter Palmer","-0.2","-0.8","-1.0","358.0",1991
"207","Tony Harris","-0.2","-0.8","-1.0","110.0",1991
"208","Scott Haffner","-0.1","-0.9","-1.0","224.0",1991
"209","Tony Dawson","-0.2","-0.9","-1.0","52.0",1991
"210","Jawann Oldham","-0.2","-0.8","-1.0","80.0",1991
"211","Mark McNamara","-0.2","-0.8","-1.0","38.0",1991
"212","Jim Thomas","-0.2","-0.9","-1.0","50.0",1991
"213","Everette Stephens","-0.2","-0.9","-1.0","34.0",1991
"214","Steve Henson","1.1","-2.1","-1.0","2426.0",1991
"215","Scott Hastings","-0.1","-0.9","-1.0","588.0",1991
"216","Gary Leonard","-0.2","-0.9","-1.0","70.0",1991
"217","Michael Ansley","0.1","-1.1","-1.0","3208.0",1991
"218","Ken Norman","-0.8","-0.3","-1.0","8950.0",1991
"219","Chris Munk","-0.2","-0.8","-1.0","146.0",1991
"220","Randy Breuer","-2.6","1.6","-1.0","6396.0",1991
"221","Derek Smith","-0.3","-0.8","-1.0","362.0",1991
"222","John Shasky","-1.2","0.2","-1.0","1730.0",1991
"223","Milos Babic","-0.1","-0.9","-1.0","192.0",1991
"224","Les Jepsen","-0.2","-0.9","-1.1","456.0",1991
"225","Winston Garland","-1.1","0.1","-1.1","6860.0",1991
"226","Tyrone Hill","-1.2","0.2","-1.1","5712.0",1991
"227","Greg Grant","-0.2","-0.9","-1.1","382.0",1991
"228","Vincent Askew","-0.0","-1.1","-1.1","472.0",1991
"229","Matt Bullard","-0.1","-0.9","-1.1","286.0",1991
"230","Mike Woodson","-0.3","-0.8","-1.1","800.0",1991
"231","Earl Cureton","-0.2","-0.9","-1.1","566.0",1991
"232","Dan Godfread","-0.2","-0.9","-1.1","80.0",1991
"233","Clifford Lett","-0.3","-0.7","-1.1","322.0",1991
"234","Clinton Smith","-0.2","-0.9","-1.1","194.0",1991
"235","Greg Butler","-0.3","-0.8","-1.1","188.0",1991
"236","Bart Kofoed","-0.2","-0.9","-1.1","96.0",1991
"237","Mike Smrek","-0.2","-1.0","-1.1","402.0",1991
"238","Bob Thornton","-0.1","-1.0","-1.1","422.0",1991
"239","Mike Higgins","-0.2","-0.9","-1.1","200.0",1991
"240","Jack Haley","-1.4","0.3","-1.1","4798.0",1991
"241","Jeff Sanders","-0.1","-1.0","-1.1","160.0",1991
"242","Larry Krystkowiak","-0.2","-0.9","-1.1","104.0",1991
"243","Kevin Edwards","-0.8","-0.4","-1.1","6814.0",1991
"244","Mark Aguirre","0.3","-1.4","-1.2","7622.0",1991
"245","Joe Barry Carroll","-0.0","-1.1","-1.2","446.0",1991
"246","Anthony Mason","-0.2","-1.0","-1.2","124.0",1991
"247","Glen Rice","-0.1","-1.1","-1.2","11508.0",1991
"248","Milt Wagner","-0.4","-0.8","-1.2","536.0",1991
"249","Derrick Chievous","-0.3","-0.9","-1.2","422.0",1991
"250","Stacey King","-1.2","0.0","-1.2","4610.0",1991
"251","A.J. Wynder","-0.2","-0.9","-1.2","136.0",1991
"252","Dave Hoppen","-0.3","-0.9","-1.2","634.0",1991
"253","Craig Neal","-0.3","-0.9","-1.2","520.0",1991
"254","Corey Gaines","-0.2","-1.0","-1.2","978.0",1991
"255","Steve Scheffler","-0.3","-1.0","-1.2","794.0",1991
"256","Drazen Petrovic","1.7","-2.9","-1.2","3582.0",1991
"257","Gary Grant","-0.8","-0.4","-1.2","9636.0",1991
"258","Johnny Newman","-0.3","-0.9","-1.2","11278.0",1991
"259","Howard Wright","-0.4","-0.8","-1.2","572.0",1991
"260","Paul Pressey","-0.6","-0.7","-1.2","6510.0",1991
"261","Tom Tolbert","-1.1","-0.1","-1.3","6780.0",1991
"262","Steve Kerr","1.3","-2.6","-1.3","3068.0",1991
"263","Andy Toolson","0.3","-1.6","-1.3","2294.0",1991
"264","Buck Johnson","-1.5","0.2","-1.3","10544.0",1991
"265","Fred Roberts","-0.8","-0.4","-1.3","10640.0",1991
"266","Steve Johnson","-0.4","-0.9","-1.3","1174.0",1991
"267","John Morton","-0.2","-1.1","-1.3","3840.0",1991
"268","Trevor Wilson","-0.4","-0.9","-1.3","620.0",1991
"269","Sam Mitchell","-0.9","-0.4","-1.3","11066.0",1991
"270","Blair Rasmussen","-2.7","1.3","-1.4","11594.0",1991
"271","Negele Knight","0.5","-1.9","-1.4","3228.0",1991
"272","Doug West","-0.9","-0.5","-1.4","2722.0",1991
"273","John Williams","0.0","-1.4","-1.4","3286.0",1991
"274","Keith Askins","-0.3","-1.1","-1.4","1030.0",1991
"275","Rolando Blackman","0.1","-1.5","-1.4","12064.0",1991
"276","Todd Lichti","0.6","-2.0","-1.4","4562.0",1991
"277","Jim Grandholm","-0.1","-1.3","-1.4","604.0",1991
"278","Mark Acres","-1.5","0.1","-1.4","4306.0",1991
"279","T.R. Dunn","-0.3","-1.1","-1.4","1074.0",1991
"280","Kelly Tripucka","0.2","-1.7","-1.4","4324.0",1991
"281","Jon Sundvold","-0.4","-1.0","-1.4","840.0",1991
"282","Quintin Dailey","-0.3","-1.2","-1.4","1040.0",1991
"283","Darrell Griffith","0.6","-2.1","-1.4","3482.0",1991
"284","Larry Drew","0.9","-2.3","-1.4","2308.0",1991
"285","George McCloud","0.6","-2.1","-1.5","3540.0",1991
"286","Steve Alford","-0.1","-1.3","-1.5","844.0",1991
"287","Anthony Frederick","-1.5","-0.0","-1.5","1708.0",1991
"288","Sedale Threatt","-0.4","-1.1","-1.5","9608.0",1991
"289","Mark Bryant","-0.8","-0.7","-1.5","3142.0",1991
"290","Tim Legler","-0.2","-1.3","-1.5","644.0",1991
"291","B.J. Armstrong","0.6","-2.1","-1.5","6216.0",1991
"292","Kenny Battle","-1.0","-0.5","-1.5","4034.0",1991
"293","Vinnie Johnson","-0.6","-0.9","-1.5","9480.0",1991
"294","Tim McCormick","-1.3","-0.3","-1.6","2738.0",1991
"295","Kenny Williams","-1.2","-0.4","-1.6","1904.0",1991
"296","Mike Gminski","-1.6","-0.0","-1.6","10414.0",1991
"297","Avery Johnson","-0.1","-1.5","-1.6","4128.0",1991
"298","Mario Elie","0.2","-1.8","-1.6","3180.0",1991
"299","Eddie Lee Wilkins","-1.7","0.0","-1.6","2356.0",1991
"300","Haywoode Workman","-1.0","-0.6","-1.6","8822.0",1991
"301","Cedric Ceballos","0.3","-2.0","-1.7","2742.0",1991
"302","Jeff Grayer","-0.8","-0.8","-1.7","4866.0",1991
"303","Bernard King","-0.3","-1.3","-1.7","10046.0",1991
"304","Bill Wennington","-2.6","0.9","-1.7","5746.0",1991
"305","Randy White","-2.3","0.6","-1.7","7090.0",1991
"306","Kenny Walker","-1.8","0.1","-1.7","2984.0",1991
"307","Herb Williams","-2.3","0.5","-1.7","6956.0",1991
"308","Jim Petersen","-1.9","0.1","-1.8","4412.0",1991
"309","Dee Brown","0.1","-1.8","-1.8","7448.0",1991
